,neuron_1,neuron_2,value,neuron_combination,p,p_adj,session_name,block,n1_cluster,n2_cluster,comb,group
136,1146,1151,-0.24253562761569386,1146_1151,0.0,0.0,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
137,1148,1151,0.14974127575430493,1148_1151,0.0,0.0,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
138,1149,1151,0.1080974110795941,1149_1151,0.02,0.02619047619047619,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
139,1150,1151,0.2558683338591419,1150_1151,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
140,1143,1152,-0.0031956754302611026,1143_1152,1.86,1.86,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
141,1144,1152,0.10659582615855015,1144_1152,0.018,0.024146341463414635,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
142,1145,1152,0.4306195109842374,1145_1152,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
143,1146,1152,-0.2655832950838202,1146_1152,0.0,0.0,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
144,1148,1152,0.1161078678273855,1148_1152,0.01,0.01375,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
145,1149,1152,0.14485516602736118,1149_1152,0.0,0.0,hamilton_13,baseline,fast_firing,slow_regular,slow_regular-fast_firing,sal
146,1150,1152,0.295474420623976,1150_1152,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_regular,slow_irregular-slow_regular,sal
147,1151,1152,0.4679177181899755,1151_1152,0.0,0.0,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
148,1143,1153,-0.18870380730642147,1143_1153,0.0,0.0,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
149,1144,1153,-0.03739563717362008,1144_1153,0.728,0.7850980392156862,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
150,1145,1153,0.4097620362307625,1145_1153,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
151,1146,1153,-0.38146844415218184,1146_1153,0.0,0.0,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
152,1148,1153,0.09503695159319077,1148_1153,0.046,0.05622222222222223,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
153,1149,1153,0.06658058754410713,1149_1153,0.196,0.23434782608695653,hamilton_13,baseline,fast_firing,slow_irregular,slow_irregular-fast_firing,sal
154,1150,1153,0.20171184402102368,1150_1153,0.0,0.0,hamilton_13,baseline,slow_irregular,slow_irregular,slow_irregular-slow_irregular,sal
155,1151,1153,0.35529435229453027,1151_1153,0.0,0.0,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
156,1152,1153,0.3970913616568703,1152_1153,0.0,0.0,hamilton_13,baseline,slow_regular,slow_irregular,slow_irregular-slow_regular,sal
157,1143,1154,-0.0968207030524469,1143_1154,0.038,0.048604651162790696,hamilton_13,baseline,slow_regular,slow_regular,slow_regular-slow_regular,sal
